,LOCATION,CITY,COUNTRY
0,"BTM Layout, Bengaluru - KSPCB",Bengaluru,IN
1,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",Bengaluru,IN
2,BWSSB Kadabesanahalli,Bengaluru,IN
3,City Railway Station - KSPCB,Bengaluru,IN
4,SaneguravaHalli - KSPCB,Bengaluru,IN
5,IIT,Chennai,IN
6,Alandur Bus Depot,Chennai,IN
7,"Peenya, Bengaluru - KSPCB",Bengaluru,IN
8,Sanathnagar - Hyderabad - TSPCB,Hyderabad,IN
9,AAQMS Karve Road Pune,Pune,IN
10,Maharashtra Pollution Control Board Bandra,Mumbai,IN
11,Navi Mumbai Municipal Corporation Airoli,Navi Mumbai,IN
12,Chandrapur,Chandrapur,IN
13,Victoria Memorial - WBPCB,Kolkata,IN
14,Victoria Memorial - WBSPCB,Kolkata,IN
15,"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,IN
16,RBU - WBSPCB,Kolkata,IN
17,Collectorate - Gaya - BSPCB,Gaya,IN
18,Ardhali Bazar,Varanasi,IN
19,IGSC Planetarium Complex - Patna - BSPCB,Patna,IN
20,Collectorate - Muzaffarpur - BSPCB,Muzaffarpur,IN
21,Collectorate Jodhpur - RSPCB,Jodhpur,IN
22,Nehru Nagar,Kanpur,IN
23,"Lalbagh, DN Park",Lucknow,IN
24,Central School,Lucknow,IN
25,VK Industrial Area Jaipur - RSPCB,Jaipur,IN
26,"Sector16A, Faridabad - HSPCB",Faridabad,IN
27,Vikas Sadan Gurgaon - HSPCB,Gurgaon,IN
28,"MD University, Rohtak - HSPCB",Rohtak,IN
29,"Udyogamandal, Eloor - Kerala PCB","Kerala State Pollution Control Board
ESIC Hospital",IN
30,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,IN
31,"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN
32,"Manali Village, Chennai - TNPCB",Government School,IN
33,"Urban, Chamarajanagar - KSPCB",Chamarajanagar,IN
34,"Thavakkara, Kannur - Kerala PCB",Kannur,IN
35,"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,IN
36,"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,IN
37,"Alandur Bus Depot, Chennai - CPCB",MKN Rd,IN
38,"BTM Layout, Bengaluru - CPCB",Bengaluru,IN
39,"Silk Board, Bengaluru - KSPCB",Silkboard Junction 323,IN
40,"Jayanagar 5th Block, Bengaluru - KSPCB",Shalini Playground 5th Block ,IN
41,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,IN
42,"Hombegowda Nagar, Bengaluru - KSPCB",Rajiv Gandhi Institute of Chest Diseases,IN
43,"Bapuji Nagar, Bengaluru - KSPCB",Mysore Rd,IN
44,"City Railway Station, Bengaluru - KSPCB",Bengaluru,IN
45,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,IN
46,"Velachery Res. Area, Chennai - CPCB",Sardar Patel Road,IN
47,"Peenya, Bengaluru - CPCB",Bengaluru,IN
48,"Hebbal, Bengaluru - KSPCB",Opp.: CBI Office,IN
49,"Manali, Chennai - CPCB",Chennai,IN
50,"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,IN
51,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Government PU college ,IN
52,"Tirumala, Tirupati - APPCB",Near GNC Toll Gate,IN
53,"Deshpande Nagar, Hubballi - KSPCB",Hubballi,IN
54,"Vidayagiri, Bagalkot - KSPCB",Bagalkot,IN
55,"PWD Grounds, Vijayawada - APPCB",MUNICIPAL GUEST HOUSE COMPOUND,IN
56,"Secretariat, Amaravati - APPCB",CAAQM Station,IN
57,"Collector Office, Yadgir - KSPCB",Yadgir,IN
58,"Ibrahimpur, Vijayapura - KSPCB",Vijayapura,IN
59,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Sri Venkateswara Anam Kala Kendram,IN
60,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,IN
61,"Zoo Park, Hyderabad - TSPCB",Hyderabad,IN
62,"ICRISAT Patancheru, Hyderabad - TSPCB",Patancheru,IN
63,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,IN
64,"Central University, Hyderabad - TSPCB",Administrative Block,IN
65,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN
66,"Bollaram Industrial Area, Hyderabad - TSPCB",CAAQMS,IN
67,"Solapur, Solapur - MPCB",Solapur,IN
68,"GVM Corporation, Visakhapatnam - APPCB",GVMC Building,IN
69,"Karve Road, Pune - MPCB",Pune,IN
70,"Colaba, Mumbai - MPCB",MCGM,IN
71,"Worli, Mumbai - MPCB",Mumbai,IN
72,"Nerul, Navi Mumbai - MPCB",CAAQMS-MPCB,IN
73,"Sion, Mumbai - MPCB",K J Somaiya Hospital,IN
74,"Bandra, Mumbai - MPCB",Mumbai,IN
75,"Kurla, Mumbai - MPCB",Kurla,IN
76,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",CAAQMS-Maharashtra Pollution Control Board,IN
77,"Vile Parle West, Mumbai - MPCB",CAAQMS- Maharashtra Pollution Control Board,IN
78,"Mahape, Navi Mumbai - MPCB",Maharashtra Pollution Control Board,IN
79,"Powai, Mumbai - MPCB",Mumbai,IN
80,"Airoli, Navi Mumbai - MPCB",Navi Mumbai,IN
81,"Pimpleshwar Mandir, Thane - MPCB",Tiwani Chawl,IN
82,"Borivali East, Mumbai - MPCB",Maharashtra Pollution Control Board,IN
83,"Khadakpada, Kalyan - MPCB",Kalyan,IN
84,"Vasai West, Mumbai - MPCB",CAAQMS MPCB,IN
85,"Chandrapur, Chandrapur - MPCB",Chandrapur,IN
86,"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,IN
87,"MIDC Khutala, Chandrapur - MPCB","
Khutala",IN
88,"Gangapur Road, Nashik - MPCB",Gangapur Road,IN
89,"Phase-1 GIDC, Vapi - GPCB",Center of Excellence (WTP side garden,IN
90,"Talcher Coalfields,Talcher - OSPCB","OSPCB CAAQMS-1
Mahanadi Coal fields Limited
Near Senior transit camp
Dera ",IN
91,"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,IN
