ID,LOCATION,CITY,COUNTRY,State
0,"BTM Layout, Bengaluru - KSPCB",Bengaluru,IN,Karnataka
1,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",Bengaluru,IN,Karnataka
2,BWSSB Kadabesanahalli,Bengaluru,IN,Karnataka
3,City Railway Station - KSPCB,Bengaluru,IN,Karnataka
4,SaneguravaHalli - KSPCB,Bengaluru,IN,Karnataka
5,IIT,Chennai,IN,Tamil Nadu
6,Alandur Bus Depot,Chennai,IN,Tamil Nadu
7,"Peenya, Bengaluru - KSPCB",Bengaluru,IN,Telangana
8,Sanathnagar - Hyderabad - TSPCB,Hyderabad,IN,Telangana
9,AAQMS Karve Road Pune,Pune,IN,Maharashtra
10,Maharashtra Pollution Control Board Bandra,Mumbai,IN,Maharashtra
11,Navi Mumbai Municipal Corporation Airoli,Navi Mumbai,IN,Maharashtra
12,Chandrapur,Chandrapur,IN,Maharashtra
13,Victoria Memorial - WBPCB,Kolkata,IN,West Bengal
14,Victoria Memorial - WBSPCB,Kolkata,IN,West Bengal
15,"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,IN,West Bengal
16,RBU - WBSPCB,Kolkata,IN,West Bengal
17,Collectorate - Gaya - BSPCB,Gaya,IN,Bihar
18,Ardhali Bazar,Varanasi,IN,Uttar Pradesh
19,IGSC Planetarium Complex - Patna - BSPCB,Patna,IN,Punjab
20,Collectorate - Muzaffarpur - BSPCB,Muzaffarpur,IN,Bihar
21,Collectorate Jodhpur - RSPCB,Jodhpur,IN,Rajasthan
22,Nehru Nagar,Kanpur,IN,Uttar Pradesh
23,"Lalbagh, DN Park",Lucknow,IN,Uttar Pradesh
24,Central School,Lucknow,IN,Uttar Pradesh
25,VK Industrial Area Jaipur - RSPCB,Jaipur,IN,Rajasthan
26,"Sector16A, Faridabad - HSPCB",Faridabad,IN,Haryana
27,Vikas Sadan Gurgaon - HSPCB,Gurgaon,IN,Haryana
28,"MD University, Rohtak - HSPCB",Rohtak,IN,Haryana
29,"Udyogamandal, Eloor - Kerala PCB","Kerala State Pollution Control Board
ESIC Hospital",IN,Kerala
30,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,IN,Tamil Nadu
31,"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,Kerala
32,"Manali Village, Chennai - TNPCB",Government School,IN,Tamil Nadu
33,"Urban, Chamarajanagar - KSPCB",Chamarajanagar,IN,Karnataka
34,"Thavakkara, Kannur - Kerala PCB",Kannur,IN,Punjab
35,"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,IN,Karnataka
36,"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,IN,Karnataka
37,"Alandur Bus Depot, Chennai - CPCB",MKN Rd,IN,Tamil Nadu
38,"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,Karnataka
39,"Silk Board, Bengaluru - KSPCB",Silkboard Junction 323,IN,Karnataka
40,"Jayanagar 5th Block, Bengaluru - KSPCB",Shalini Playground 5th Block,IN,Karnataka
41,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,IN,Karnataka
42,"Hombegowda Nagar, Bengaluru - KSPCB",Rajiv Gandhi Institute of Chest Diseases,IN,Karnataka
43,"Bapuji Nagar, Bengaluru - KSPCB",Mysore Rd,IN,Karnataka
44,"City Railway Station, Bengaluru - KSPCB",Bengaluru,IN,Karnataka
