stn_code,year-month,so2,no2,rspm,spm,pm2_5
1.0,1987-01,9.657142857142857,15.642857142857142,,303.57142857142856,
1.0,1987-02,15.375,22.175,,277.25,
1.0,1987-05,10.9,30.7,,152.0,
1.0,1988-01,13.86,17.720000000000002,,297.6,
1.0,1988-02,6.4,10.95,,488.5,
1.0,1988-08,3.7,7.6,,68.0,
1.0,1988-09,4.9,6.4,,147.0,
1.0,1988-12,19.2,9.3,,352.0,
1.0,1989-01,22.6,11.0,,363.0,
1.0,1989-02,27.0,13.2,,512.0,
1.0,1989-03,28.6,15.2,,569.0,
1.0,1989-04,4.9,4.2,,391.0,
1.0,1989-05,9.1,8.6,,293.0,
1.0,1989-07,7.1,5.0,,306.0,
1.0,1989-08,8.9,6.6,,532.0,
1.0,1989-12,30.3,13.2,,479.0,
1.0,1990-01,22.2,13.9,,344.0,
1.0,1990-02,25.5,27.1,,365.0,
1.0,1990-03,18.7,18.1,,318.0,
1.0,1990-04,21.7,8.9,,385.0,
1.0,1990-06,14.3,6.9,,348.0,
1.0,1990-07,17.6,10.0,,333.0,
1.0,1990-08,13.3,7.8,,323.0,
1.0,1990-09,19.9,10.2,,414.0,
1.0,1990-10,35.0,12.9,,645.0,
1.0,1990-11,25.6,11.6,,601.0,
1.0,1990-12,28.7,9.5,,790.0,
1.0,1991-01,30.1,12.0,,729.0,
1.0,1991-02,22.5,12.2,,651.0,
1.0,1991-03,20.5,11.2,,446.0,
1.0,1991-04,17.4,10.3,,448.0,
1.0,1991-05,12.5,7.4,,381.0,
1.0,1991-06,11.6,6.8,,358.0,
1.0,1991-07,13.2,7.9,,390.0,
1.0,1991-08,17.8,11.4,,405.0,
1.0,1991-09,20.2,12.9,,454.0,
1.0,1991-10,21.2,12.6,,483.0,
1.0,1991-11,26.4,14.5,,673.0,
1.0,1991-12,35.6,20.2,,826.0,
1.0,1992-04,21.4,13.3,,549.0,
1.0,1993-01,40.6,15.2,,,
1.0,1993-02,33.1,12.5,,,
1.0,1993-03,29.9,10.7,,,
1.0,1993-04,18.3,6.6,,,
1.0,1993-05,20.1,7.9,,,
1.0,1993-06,22.4,8.1,,470.0,
1.0,1993-07,28.9,7.9,,277.0,
1.0,1993-08,19.6,14.8,,322.0,
1.0,1993-09,19.0,12.5,,443.0,
1.0,1993-10,17.0,12.5,,455.0,
1.0,1993-11,19.7,12.5,,392.0,
1.0,1994-01,19.5,14.8,,543.0,
1.0,1994-02,28.9,9.2,,525.0,
1.0,1994-03,22.6,7.4,,464.0,
1.0,1994-04,27.6,10.0,,380.0,
1.0,1994-05,23.5,10.0,,391.0,
1.0,1994-06,20.3,10.4,,345.0,
1.0,1994-07,16.2,8.2,,298.0,
1.0,1994-08,12.2,5.2,,175.0,
1.0,1994-09,15.5,7.0,,223.0,
1.0,1994-11,20.8,13.5,,358.0,
1.0,1994-12,34.8,16.8,,439.0,
1.0,1995-01,34.2,17.9,,810.0,
1.0,1995-02,24.5,17.1,,622.0,
1.0,1995-03,20.1,13.5,,460.0,
