,City Name,Month -Year,Monthly mean average concentration - PM2.5,Monthly mean concentration - PM10,Monthly mean concentration - NO2,Monthly mean concentration - SO2,Monthly mean concentration - O3,year
12,KANPUR NAGAR,Dec-17,229,257.47,105.0,9.8,13.1,2017
13,KANPUR NAGAR,Nov-17,213,251.85,104.5,10.5,15.4,2017
14,KANPUR NAGAR,Oct-17,124,195.36,80.0,11.5,17.6,2017
15,KANPUR NAGAR,Sep-17,57,175.32,49.2,7.7,15.7,2017
16,KANPUR NAGAR,Aug-17,37,147.86,42.5,6.5,9.0,2017
17,KANPUR NAGAR,Jul-17,31,193.77,43.3,5.5,9.8,2017
18,KANPUR NAGAR,Jun-17,50,235.78,84.1,8.6,16.4,2017
19,KANPUR NAGAR,May-17,62,233.39,138.4,9.6,18.7,2017
20,KANPUR NAGAR,Apr-17,69,239.45,161.7,9.3,12.7,2017
21,KANPUR NAGAR,Mar-17,76,234.226,108.8,10.0,12.2,2017
22,KANPUR NAGAR,Feb-17,119,193.62,96.6,11.0,12.7,2017
23,KANPUR NAGAR,Jan-17,178,246.28,72.6,8.8,11.9,2017
