,City Name,Month -Year,Monthly mean/average concentration - PM2.5,Monthly mean concentration - PM10,Monthly mean concentration - NO2,Monthly mean concentration - SO2,Monthly mean concentration - O3,year
12,Varanasi,Dec-17,256.0,390.0,89.8,11.6,40.2,2017
13,Varanasi,Nov-17,181.0,345.0,83.3,10.3,18.6,2017
14,Varanasi,Oct-17,91.0,192.0,41.8,8.2,17.1,2017
15,Varanasi,Sep-17,50.0,107.0,23.2,7.8,16.6,2017
16,Varanasi,Aug-17,37.0,69.0,18.9,5.1,12.3,2017
17,Varanasi,Jul-17,32.0,59.0,26.0,4.8,13.7,2017
18,Varanasi,Jun-17,51.0,158.0,39.7,5.5,35.2,2017
19,Varanasi,May-17,69.0,236.0,39.8,8.6,44.3,2017
20,Varanasi,Apr-17,83.0,298.0,40.0,9.7,35.5,2017
21,Varanasi,Mar-17,111.0,289.0,52.4,12.1,23.4,2017
22,Varanasi,Feb-17,136.0,280.0,52.3,12.1,23.2,2017
23,Varanasi,Jan-17,212.0,318.0,45.7,9.7,16.2,2017
